INFO 2025-08-07 07:52:17,305 autoreload 5348 10732 Watching for file changes with StatReloader
WARNING 2025-08-07 07:52:42,285 log 5348 9600 Not Found: /cart/count/
WARNING 2025-08-07 07:52:58,115 log 5348 9600 Not Found: /cart/count/
INFO 2025-08-07 07:53:57,253 error_handling 5348 11408 Starting operation: product_detail
INFO 2025-08-07 07:53:57,254 error_handling 5348 11408 Operation completed: product_detail in 0.00s
WARNING 2025-08-07 07:54:24,674 log 5348 11408 Not Found: /cart/count/
WARNING 2025-08-07 07:55:13,093 log 5348 11408 Not Found: /cart/count/
WARNING 2025-08-07 07:55:51,132 log 5348 11408 Not Found: /cart/count/
WARNING 2025-08-07 08:05:49,366 log 5348 6228 Forbidden (CSRF token from the 'X-Csrftoken' HTTP header has incorrect length.): /shop/favorite/
WARNING 2025-08-07 08:05:53,509 log 5348 6228 Forbidden (CSRF token from the 'X-Csrftoken' HTTP header has incorrect length.): /shop/favorite/
WARNING 2025-08-07 08:05:54,609 log 5348 6228 Forbidden (CSRF token from the 'X-Csrftoken' HTTP header has incorrect length.): /shop/cart/add/
WARNING 2025-08-07 08:05:56,491 log 5348 6228 Forbidden (CSRF token from the 'X-Csrftoken' HTTP header has incorrect length.): /shop/cart/add/
WARNING 2025-08-07 08:05:56,875 log 5348 6228 Forbidden (CSRF token from the 'X-Csrftoken' HTTP header has incorrect length.): /shop/cart/add/
WARNING 2025-08-07 08:06:03,540 log 5348 6228 Forbidden (CSRF token from the 'X-Csrftoken' HTTP header has incorrect length.): /shop/favorite/
WARNING 2025-08-07 08:06:05,372 log 5348 6228 Not Found: /cart/count/
WARNING 2025-08-07 08:07:21,579 log 5348 6228 Not Found: /cart/count/
INFO 2025-08-07 08:07:42,108 error_handling 5348 6228 Starting operation: product_detail
INFO 2025-08-07 08:07:42,110 error_handling 5348 6228 Operation completed: product_detail in 0.00s
WARNING 2025-08-07 08:08:39,218 log 5348 6228 Not Found: /cart/count/
